Identifier,Title,Funding Org:Identifier,Funding Org:Name,Recipient Org:Charity Number,Recipient Org:Name,Internal Organisation ID,Currency,Amount Applied For,Amount Awarded,Application Date:Start Date,Award Date,Recipient Org:Street Address,Recipient Org:City,Recipient Org:County,Recipient Org:Postal Code,Recipient Org:Country,Recipient Org:Alternate Name,Recipient Org:Description,Planned Dates:Start Date,Planned Dates:Duration (months),Planned Dates:End Date,Beneficiary Location:Name,Beneficiary Location:Country Code,Beneficiary Location:Latitude/Longitude,Description,WebAddress,From an open call?,Related Activity:Identifier,Last modified,Recipient Org:Identifier
360G-indigotrust:IND83,towards the costs of developing the campaign,360G-indigotrust,Indigo Trust,,Make Justice Work,18808,GBP,,50000,,12/06/2008 00:00,26a Ganton Street,London,,W1F 7QZ,UK,,,,12 months,,UK,GB,,Towards the costs of developing the campaign.,,,,02/09/2008 10:48,360G-indigotrust:org-18808
360G-indigotrust:IND84,Research and dev of the social impact bond,360G-indigotrust,Indigo Trust,,Community Links,19521,GBP,,50000,,04/12/2008 00:00,105 Barking Road,Canning Town,London,E16 4HQ,UK,,,,12 months,,UK,GB,,To enable further research and development of the Social Impact Bond.,,,,06/10/2009 12:30,360G-indigotrust:org-19521
360G-indigotrust:IND85,Research in field of Prisioners and Families,360G-indigotrust,Indigo Trust,,Lemos & Crane,8749,GBP,,45000,,19/11/2008 00:00,64 Highgate Highstreet,London,,N6 5HX,UK,,,,12 months,,UK,GB,,"Carry out research in field of Prisioners and Families - Desistance from 
Re-Offending.",,,,17/04/2009 10:45,360G-indigotrust:org-8749
360G-indigotrust:IND86,Employment costs of a co-ordinator,360G-indigotrust,Indigo Trust,,Open Book,19618,GBP,,132000,,19/11/2008 00:00,"Goldsmiths College, University of London, Lewisham Way",New Cross,London,SE14 6NW,UK,,,,36 months,,UK,GB,,"Towards the employment costs of a co-ordinator to assist the Project 
Manager.",,,,16/02/2009 10:36,360G-indigotrust:org-19618
360G-indigotrust:IND87,Towards costs of a programmer,360G-indigotrust,Indigo Trust,1076346,MySociety,20042,GBP,,120000,,05/02/2009 00:00,483 Green Lanes,London,,N13 4BS,UK,,,,36 months,,UK,GB,,Towards costs of a programmer.,,,,21/06/2011 16:06,GB-CHC-1076346
360G-indigotrust:IND88,award to recognise excellence in the field of IT,360G-indigotrust,Indigo Trust,,Butler Trust,8543,GBP,,54000,,09/04/2009 00:00,Howard House,32-24 High Street,Croydon,CR0 1YB,UK,,,,36 months,,UK,GB,,Towards the costs of an award to recognise excellence in the field of IT.,,,,18/08/2011 16:13,360G-indigotrust:org-8543
360G-indigotrust:IND89,towards the costs of a programme,360G-indigotrust,Indigo Trust,1091450,New Philanthropy Capital,8793,GBP,,63000,,09/04/2009 00:00,3rd Floor,185 Park Street,London,SE1 9BL,UK,,,,12 months,,UK,GB,,"Towards the costs of a programme to assist charities working with offenders 
and their families to develop systems and tools to measure and articulate 
their effectiveness in reducing recidivism.",,,,19/01/2010 16:11,GB-CHC-1091450
360G-indigotrust:IND90,To provide consultancy to dev User Voice,360G-indigotrust,Indigo Trust,,User Voice,21764,GBP,,1339.73,,15/01/2010 00:00,20 Newburn Street,Kennington,London,SE11 5P,UK,,,,12 months,,UK,GB,,"To provide consultancy to assist Mark Johnson in the development of the 
User Voice Programme.",,,,17/08/2010 16:03,360G-indigotrust:org-21764
360G-indigotrust:IND91,Conference costs and business support,360G-indigotrust,Indigo Trust,,Africa Gathering,25103,GBP,,10000,,06/12/2010 00:00,"147 Yew Tree Drive, Bellfields",Guildford,Surrey,GU1 1N,UK,,,,12 months,,UK,GB,,"£5000 towards conference costs and £5000 towards business support, the 
latter of which will be paid directly to the providers of support.",,,,19/12/2012 14:18,360G-indigotrust:org-25103
360G-indigotrust:IND92,Costs of part-time project manager,360G-indigotrust,Indigo Trust,,FrontlineSMS Radio,25104,GBP,,10200,,06/12/2010 00:00,"24 Hollidays Road, Bluntisham",Huntingdon,Cambridgeshire,PE28 3LP,UK,,,,12 months,,UK,GB,,"Costs of a part-time project manager to develop a new software model to 
promote the growth of civil society activity in Africa.",,,,09/10/2014 14:17,360G-indigotrust:org-25104
360G-indigotrust:IND93,Core costs and project costs,360G-indigotrust,Indigo Trust,,The Sainsbury Archive,8313,GBP,,4000,,06/12/2010 00:00,The Peak,5 Wilton Road,London,SW1V 1AP,UK,,,,36 months,,UK,GB,,Towards core cost and project costs.,,,,05/10/2012 11:00,360G-indigotrust:org-8313
360G-indigotrust:IND94,Media transparency project,360G-indigotrust,Indigo Trust,,Hive Colab,25495,GBP,,10000,,07/02/2011 00:00,"3rd Foor, Suite 304, Kankojya House, Kanjokya Road",Kamwokya,Kampala,,Uganda,,,,12 months,,Uganda,UG,,Towards a media transparency project during the upcoming Ugandan elections.,,,,09/10/2014 14:19,360G-indigotrust:org-25495
360G-indigotrust:IND96,Costs of new equipment,360G-indigotrust,Indigo Trust,,Pamoja Development Centre,25672,GBP,,2213,,03/03/2011 00:00,58 Kibera Drive,00200-10352,Nairobi,,Kenya,,,,12 months,,Kenya,KE,,"To cover costs of four new deskktops and two laptops, back-ups and one 
medium generator.",,,,21/06/2011 16:04,360G-indigotrust:org-25672
360G-indigotrust:IND97,Prize money and project management costs,360G-indigotrust,Indigo Trust,,Co-Creation Hub Nigeria,25709,GBP,,5000,,04/03/2011 00:00,"6th Floor, 294 Herbert Macaulay Way, Sabo",Yaba,Lagos,,Nigeria,,,,12 months,,Nigeria,NG,,"To cover costs of prize money valued at £4,000 and to contribute £1,000 
towards project management costs for Tech-In Governance event.",,,,09/10/2014 14:20,360G-indigotrust:org-25709
360G-indigotrust:IND98,ICT for Development Conference,360G-indigotrust,Indigo Trust,,Institute for Philanthropy,11117,GBP,,41506.4,,06/12/2010 00:00,2 Temple Place,London,,WC2R 3BD,UK,,,,12 months,,UK,GB,,"To cover the costs of an ICT for Development Conference hosted by IFP in 
Septmber 2011.",,,,09/10/2014 16:44,360G-indigotrust:org-11117
360G-indigotrust:IND99,Research on social media and philanthropy,360G-indigotrust,Indigo Trust,,Institute for Philanthropy,11117,GBP,,15000,,02/02/2010 15:32,2 Temple Place,London,,WC2R 3BD,UK,,,,12 months,,UK,GB,,"For a piece of research on social media and philanthropy,.",,,,09/10/2014 16:44,360G-indigotrust:org-11117
360G-indigotrust:IND100,The Transparency and Accountability Initiative,360G-indigotrust,Indigo Trust,,Open Society Foundation,26037,GBP,,10000,,04/04/2011 00:00,100 Cambridge Grove,London,,W6 OLE,UK,,,,12 months,,UK,GB,,To The Transparency and Accountability Initiative.,,,,09/10/2014 14:20,360G-indigotrust:org-26037
360G-indigotrust:IND103,Call centre support for the mobile application.,360G-indigotrust,Indigo Trust,,iCow,26177,GBP,,10536,,15/04/2011 00:00,Green Dreams Ltd,P.O. Box 1403-00217,Limuru,,KENYA,,,,12 months,,KENYA,KE,,"Applications which enables farmers to receive notifications which advise 
them on how to correctly take care of their cattle at appropriate times.",,,,19/10/2011 15:57,360G-indigotrust:org-26177
360G-indigotrust:IND104,Empowering young people to use social media to improve their sexual health,360G-indigotrust,Indigo Trust,,Tactical Tech,26346,GBP,,16350,,17/05/2011 00:00,3 Gloucester Yard,121-3 Gloucester Road,Brighton,BN1 4AF,UK,,,,12 months,,UK,GB,,"Work with human rights activists around the developing world in order to 
support them to make more effective use of technology in their work.",,,,19/10/2011 16:02,360G-indigotrust:org-26346
360G-indigotrust:IND105,Research paper investigation role and uses of mobile phones,360G-indigotrust,Indigo Trust,,Mobile Active,26347,GBP,,20000,,17/05/2011 00:00,121 West 27th Street,Suite 702,New York,NY 1001,USA,,,,12 months,,USA,US,,"Towards a research paper investigating the role and uses of mobile phones 
in human rights, democracy, and governance.",,,,09/10/2014 14:21,360G-indigotrust:org-26347
360G-indigotrust:IND106,To enable extension of services,360G-indigotrust,Indigo Trust,,ActivSpaces,26348,GBP,,10008.96,,18/05/2011 00:00,c/o Sanaga Ventures B.V.,MS. van Riemsdijkweg 57,1033 RC Amsterdam,,THE NETHERLANDS,,,,12 months,,THE NETHERLANDS,NL,,"Extension of their services developing technology based prototypes and 
bringing them to market.",,,,21/06/2011 16:05,360G-indigotrust:org-26348
360G-indigotrust:IND107,Costs of two members of staff for 3 months,360G-indigotrust,Indigo Trust,,Open Mind,26349,GBP,,10000,,18/05/2011 00:00,1158 26th St. Ste. 267,Santa Monica,,CA 90403,USA,,,,12 months,,USA,US,,"To cover the costs of two members of staff (programmers) for 3 months to 
the Question Box initiative in order to develop a system which strengthens 
the capacity of NGOs.",,,,21/06/2011 16:05,360G-indigotrust:org-26349
360G-indigotrust:IND108,To support winners of Tech-In Governance event and core costs of the hub,360G-indigotrust,Indigo Trust,,Co-Creation Hub Nigeria,25709,GBP,,25000,,25/05/2011 00:00,"6th Floor, 294 Herbert Macaulay Way, Sabo",Yaba,Lagos,,Nigeria,,,,12 months,,Nigeria,NG,,"£10,000 to cover core costs and three separate projects of £5,000 each: 
Citizens against rigging elections; Residents reports and Budget4U.",,,,09/10/2014 14:21,360G-indigotrust:org-25709
360G-indigotrust:IND109,DIY,360G-indigotrust,Indigo Trust,1076346,MySociety,20042,GBP,,40000,,14/06/2011 15:32,483 Green Lanes,London,,N13 4BS,UK,,,,12 months,,UK,GB,,"DIY books or DIY classes to help lots of people to solve their own 
problems, meeting people and bulding relationships in the process.",,,,09/10/2014 14:21,GB-CHC-1076346
360G-indigotrust:IND110,Top-up for research paper,360G-indigotrust,Indigo Trust,,Institute for Philanthropy,11117,GBP,,3600,,28/06/2011 00:00,2 Temple Place,London,,WC2R 3BD,UK,,,,12 months,,UK,GB,,"Top-up to original grant for a piece of research on social media and 
philanthropy £3,600 plus VAT.",,,,09/10/2014 16:44,360G-indigotrust:org-11117
360G-indigotrust:IND111,Facebook page for sexual health project.,360G-indigotrust,Indigo Trust,,OneWorld UK,26789,GBP,,13000,,11/07/2011 00:00,CAN Mezzanine,32-36 Loman Street,London,SE1 0EH,UK,,,,12 months,,UK,GB,,Facebook page on issues of sexual health in Nigeria and Senegal.,,,,17/11/2011 11:01,360G-indigotrust:org-26789
360G-indigotrust:IND112,For redesign and development of website and community outreach activities,360G-indigotrust,Indigo Trust,,Map Kibera,26907,GBP,,11320.32,,27/07/2011 00:00,Nairobi,,,,KENYA,,,,12 months,,KENYA,KE,,"Towards redesign and development of their website and community outreach 
activities for mapping project.",,,,09/10/2014 14:22,360G-indigotrust:org-26907
360G-indigotrust:IND113,Technical support for radio stations participating in radio module pilot,360G-indigotrust,Indigo Trust,,FrontlineSMS Radio,25104,GBP,,10000,,17/08/2011 00:00,"24 Hollidays Road, Bluntisham",Huntingdon,Cambridgeshire,PE28 3LP,UK,,,,12 months,,UK,GB,,Technical support for radio stations participating in the Radio module.,,,,23/08/2011 11:20,360G-indigotrust:org-25104
360G-indigotrust:IND114,"Prize money, venue costs and post media relations for Mobile App",360G-indigotrust,Indigo Trust,,Mobile Consortium Ghana,27033,GBP,,10000,,17/08/2011 00:00,29 Thornton Avenue,Croydon,Surrey,CR0 3BW,UK,,,,12 months,,UK,GB,,"Towards prize money, venue costs and post media relations for Mobile App 
showcase and competition in Ghana.",,,,06/09/2011 13:14,360G-indigotrust:org-27033
360G-indigotrust:IND115,To identify collections of relevant/affordable eBook titles.,360G-indigotrust,Indigo Trust,,International Association for Digital Publications,15052,GBP,,10000,,07/09/2011 00:00,"c/o Mazars LLP, Times House",Throwley Way,Surrey,SM1 4JQ,UK,,,,Undefined,,UK,GB,,"To support them in identifying collections of relevant and affordable eBook 
titles for use alongside the Open Education Resources (OER) that support 
the British Open University's TESSA and HEAT projects.",,,,19/10/2011 15:58,360G-indigotrust:org-15052
360G-indigotrust:IND116,Integrate Ushahidi into their Land Accountablility Project and training.,360G-indigotrust,Indigo Trust,274467,ActionAid,527,GBP,,10000,,07/09/2011 00:00,33 - 39 Bowling Green Lane,London,,EC1R 0BJ,UK,,,,12 months,,UK,GB,,"To integrate Ushahidi into their Land Accountablity Project and train 
people to use this tool to report land grabbing disputes.",,,,09/10/2014 14:22,GB-CHC-274467
360G-indigotrust:IND117,Training young people to use social media.,360G-indigotrust,Indigo Trust,,Youth for Technology Foundation,27117,GBP,,9995,,08/09/2011 00:00,12123 Shelbyville Road,Suite 100-264,Louisville,KY 40243,USA,,,,12 months,,USA,US,,"For a project which involves training young people in Nigeria to use social 
media to inform people and stimulate behaviour change around sexual health 
issues and to provide mobile counselling services.",,,,10/11/2011 12:37,360G-indigotrust:org-27117
360G-indigotrust:IND118,Making Wikimedia more easily accessible from mobile phones.,360G-indigotrust,Indigo Trust,,Wikimedia,27118,GBP,,10000,,08/09/2011 00:00,149 Montgomery Street,3rd Floor,San Francisco,CA 94105,USA,,,,12 months,,USA,US,,"To support them in making Wikipedia more easily accesible from mobile 
phones and internationalising their platform.",,,,05/10/2011 10:31,360G-indigotrust:org-27118
360G-indigotrust:IND119,To develop the Nigerian constitution App for use on new platforms.,360G-indigotrust,Indigo Trust,,Co-Creation Hub Nigeria,25709,GBP,,7000,,12/09/2011 00:00,"6th Floor, 294 Herbert Macaulay Way, Sabo",Yaba,Lagos,,Nigeria,,,,12 months,,Nigeria,NG,,"Towards Nigeria Constitution App: for developer time to develop his App on 
new mobile platforms and promote its us.",,,,09/10/2014 14:23,360G-indigotrust:org-25709
360G-indigotrust:IND120,Salary of a business consultant.,360G-indigotrust,Indigo Trust,,Co-Creation Hub Nigeria,25709,GBP,,10000,,12/10/2011 00:00,"6th Floor, 294 Herbert Macaulay Way, Sabo",Yaba,Lagos,,Nigeria,,,,12 months,,Nigeria,NG,,"Towards the salary of a business consultant who is supporting innovations 
for social change being developed at the hub.",,,,21/10/2011 10:48,360G-indigotrust:org-25709
360G-indigotrust:IND122,For salary costs and upgrading their internet connection.,360G-indigotrust,Indigo Trust,,ilab Liberia,27296,GBP,,20000,,05/10/2011 00:00,20th Street and Payne Avenue,"Appt #5 Star Building, Sinkor",Monrovia,,LIBERIA,,,,12 months,,LIBERIA,LR,,For salary costs and upgrading their internet connection.,,,,07/11/2011 09:45,360G-indigotrust:org-27296
360G-indigotrust:IND124,To support the organisation of a TEDx conference in Ghana December 2011.,360G-indigotrust,Indigo Trust,,TEDx Dzorwulu,27384,GBP,,4000,,27/10/2011 00:00,TBC,,,,GHANA,,,,12 months,,GHANA,GH,,To support the organisation of TEDx Conference in Ghana in December 2011.,,,,10/11/2011 14:57,360G-indigotrust:org-27384
360G-indigotrust:IND125,Salary costs and general support to team,360G-indigotrust,Indigo Trust,,iCow,26177,GBP,,4000,,07/11/2011 00:00,Green Dreams Ltd,P.O. Box 1403-00217,Limuru,,KENYA,,,,12 months,,KENYA,KE,,Towards salary costs and general support to the team.,,,,15/11/2011 10:21,360G-indigotrust:org-26177
360G-indigotrust:IND126,Towrds youth projects in Kings Cross,360G-indigotrust,Indigo Trust,1091001,Copenhagen Youth Project,27458,GBP,,44672,,10/11/2011 00:00,Naish Court Community Centre,172 Copenhagen Street,London,N1 0ST,UK,,,,12 months,,UK,GB,,Towards youth projects in Kings Cross.,,,,23/01/2013 13:40,GB-CHC-1091001
360G-indigotrust:IND127,To support development of online training programme for mentors.,360G-indigotrust,Indigo Trust,,SHM Foundation,27574,GBP,,15000,,23/11/2011 00:00,1st floor,20-22 Bedford Row,London,WC1R 4EB,UK,,,,12 months,,UK,GB,,"To support development of online training programme for mentors and a myth 
buster application for their Kopano project, which provides SMS support 
groups to women diagnosed with HIV during pregnancy.",,,,21/02/2012 12:08,360G-indigotrust:org-27574
360G-indigotrust:IND128,For development of a platform to monitor and report on government projects,360G-indigotrust,Indigo Trust,,Co-Creation Hub Nigeria,25709,GBP,,5000,,07/12/2011 00:00,"6th Floor, 294 Herbert Macaulay Way, Sabo",Yaba,Lagos,,Nigeria,,,,12 months,,Nigeria,NG,,"For iWatchlive to develop a platform used to monitor and report on 
government projects/programmes in Nigeria.",,,,09/10/2014 14:23,360G-indigotrust:org-25709
360G-indigotrust:IND129,Salary costs for one year for Infonet Development Programmer,360G-indigotrust,Indigo Trust,,Sodnet,27748,GBP,,30750,,08/12/2011 00:00,"Methodist Ministry Center, 2nd Wing, 3rd Floor, Oloitoktok Road, Off 
Gitanga Road",Kilimani,Nairobi 00619,,KENYA,,,,12 months,,KENYA,KE,,"Towards salary costs for one year for the Infonet Development Programme 
Lead and a Programmer for up to £30,750 plus bank charges, which will be 
paid in two instalments of £15,375, coming out of this year's and next 
year's budget.",,,,09/10/2014 14:23,360G-indigotrust:org-27748
360G-indigotrust:IND131,"For high sped internet connection, prizes for apps connection",360G-indigotrust,Indigo Trust,,VVOB Zambia,27750,GBP,,12909.97,,08/12/2011 00:00,"Curriculum Development Center Building, Haile Selassie Avenue, Longacres",Box 31204,Lusaka,,ZAMBIA,,,,12 months,,ZAMBIA,ZM,,"Towards their high speed internet connection, prizes for the governance 
component of an Apps competition and mobile training.",,,,15/12/2011 09:38,360G-indigotrust:org-27750
360G-indigotrust:IND132,To sponsor up to two events in Africa.,360G-indigotrust,Indigo Trust,,Africa Gathering,25103,GBP,,5000,,20/12/2011 00:00,"147 Yew Tree Drive, Bellfields",Guildford,Surrey,GU1 1N,UK,,,,12 months,,UK,GB,,"To support Africa Gathering to host up to two events in Africa (up to a 
maximum of £3,000 per event),.",,,,12/11/2012 12:13,360G-indigotrust:org-25103
360G-indigotrust:IND133,"Legal costs, salary costs for six month and all other costs re Safaricom.",360G-indigotrust,Indigo Trust,,iCow,26177,GBP,,15000,,29/02/2012 00:00,Green Dreams Ltd,P.O. Box 1403-00217,Limuru,,KENYA,,,,12 months,,KENYA,KE,,"Towards legal costs, salary costs for six months and any other costs that 
may arise whilst scaling across Kenya with Safaricom.",,,,23/03/2012 10:32,360G-indigotrust:org-26177
360G-indigotrust:IND134,To support SMS platform used to inform youth about governance issues,360G-indigotrust,Indigo Trust,,Youth Agenda,28197,GBP,,10000,,29/02/2012 00:00,"Woodlands Court,, Kirichwa Lane, Off Ngong Road",P.O. Box 10174-00100,Nairobi,,KENYA,,,,12 months,,KENYA,KE,,"To support an SMS platform used to inform youth about governance issues and 
ascertain their viewpoints around critical issues for advocacy purposes.",,,,09/10/2014 14:23,360G-indigotrust:org-28197
360G-indigotrust:IND135,To cover salary costs and rent for expansion of innovation space.,360G-indigotrust,Indigo Trust,,Hive Colab,25495,GBP,,18000,,29/02/2012 00:00,"3rd Foor, Suite 304, Kankojya House, Kanjokya Road",Kamwokya,Kampala,,Uganda,,,,12 months,,Uganda,UG,,To cover salary costs and rent for expansoin of their innovation space.,,,,28/08/2012 14:09,360G-indigotrust:org-25495
360G-indigotrust:IND136,Develpment of a social incubation space and innovation technology hub,360G-indigotrust,Indigo Trust,,RLabs South Africa,28198,GBP,,22200,,01/03/2012 00:00,"66 Tarentaal Road, Bridgetown",Athlone7764,Cape Town,,SOUTH AFRICA,,,,12 months,,SOUTH AFRICA,ZA,,"For the development of a social incubation space in South Africa and an 
innovation and technology hub in Somaliland.",,,,25/06/2013 16:15,360G-indigotrust:org-28198
360G-indigotrust:IND137,To be spent as Holborn Community Association sees fit.,360G-indigotrust,Indigo Trust,,Holborn Community Association,28200,GBP,,5000,,01/03/2012 00:00,Bedford House,35 Emerald Street,London,WC1N 3QW,UK,,,,12 months,,UK,GB,,A grant to be spent as the Holborn Community Association sees fit.,,,,12/11/2012 13:05,360G-indigotrust:org-28200
360G-indigotrust:IND138,To help organise their annual event for young coders and developers,360G-indigotrust,Indigo Trust,,Young Rewired State,28215,GBP,,10000,,06/03/2012 00:00,3 Waterside Mews,Guildford,Surrey,GU1 1LA,UK,,,,12 months,,UK,GB,,"To help Young Rewired State organise their annual event (YRS2012) for young 
coders and developers..",,,,23/03/2012 11:01,360G-indigotrust:org-28215
360G-indigotrust:IND139,To develop an online platform to map forced evictions of slum dwellers,360G-indigotrust,Indigo Trust,,Amnesty International,17390,GBP,,16000,,14/03/2012 00:00,"United Kingdom Section, The Human Rigfhts Action Centre",17-25 New Inn Yard,London,EC2A 3EA,UK,,,,12 months,,UK,GB,,"To support Amnesty to develop an online platform to map forced evictions of 
slum dwellers in Kenya.",,,,09/10/2014 14:26,360G-indigotrust:org-17390
360G-indigotrust:IND140,To establish an innovation hub in Tanzania.,360G-indigotrust,Indigo Trust,,KINU Group,28344,GBP,,30000,,20/03/2012 00:00,P.O. Box 23207,Dar es Salaam,,,TANZANIA,,,,12 months,,TANZANIA,TZ,,"To enable The KINU Group to establish an innovation hub in Tanzania. The 
money is to be spent at the grantees discretion.",,,,21/03/2012 12:23,360G-indigotrust:org-28344
360G-indigotrust:IND141,Conference Expenses,360G-indigotrust,Indigo Trust,,Africa Gathering,25103,GBP,,15000,,23/04/2012 00:00,"147 Yew Tree Drive, Bellfields",Guildford,Surrey,GU1 1N,UK,,,,12 months,,UK,GB,,"To cover flight and accommodation expenses of a number of African 
technology innovation hubs to attend Africa Gathering's London 2012 
Conference.",,,,30/04/2012 10:47,360G-indigotrust:org-25103
360G-indigotrust:IND142,IntHEC SMS Project,360G-indigotrust,Indigo Trust,222655,Liverpool School of Tropical Medicine,914,GBP,,14920,,24/04/2012 00:00,Pembroke Place,Liverpool,,L3 5QA,UK,,,,12 months,,UK,GB,,"To allow the school to design, build and test an SMS system aimed at 
improving uptake of sexual and reproductive health services in the Mwanza 
area of Tanzania.",,,,26/02/2013 11:59,GB-CHC-222655
360G-indigotrust:IND143,Conference Expenses,360G-indigotrust,Indigo Trust,,Fondation Nationale Des Sciences Politiques,28578,GBP,,10000,,24/04/2012 00:00,"Centre d'etudes Europeennes de Sciences Po, 27 rue Saint-Guillaume, 75337",Paris,Cedex 07,,FRANCE,Fondation Nationale Des Sciences Politiques - Sciences Po,,,12 months,,FRANCE,FR,,"Travel and accommodation expenses for the Open Legislative Data Conference 
in Paris in July 2012.",,,,09/10/2014 14:26,360G-indigotrust:org-28578
360G-indigotrust:IND144,University Mapping Days,360G-indigotrust,Indigo Trust,,Fruits of Thought,28677,GBP,,5000,,09/05/2012 00:00,"Plot 7669 Tank Hill, Muyenga",PO Box 25435,Kampala,,UGANDA,,,,12 months,,UGANDA,UG,,To provide 5 mapping days at universities.,,,,09/10/2014 14:26,360G-indigotrust:org-28677
360G-indigotrust:IND145,iParticipate - Ushahidi mappnig platform for northern Uganda,360G-indigotrust,Indigo Trust,,CIPESA,28735,GBP,,12000,,21/05/2012 00:00,"Plot 156-158 Mutesa II Road, Ntinda",PO Box 4365,Kampala,,UGANDA,"CIPESA - Collaboration on International ICT Policy for East and Southern 
Africa",,,12 months,,UGANDA,UG,,"Development of Ushahidi mapping platform for northern Uganda and collection 
of data on planned government reconstruction projects included under Peace 
and Recovery Development programmes.",,,,09/10/2014 14:27,360G-indigotrust:org-28735
360G-indigotrust:IND146,Business Support Consultancy,360G-indigotrust,Indigo Trust,,Hive Colab,25495,GBP,,10000,,20/06/2012 00:00,"3rd Foor, Suite 304, Kankojya House, Kanjokya Road",Kamwokya,Kampala,,Uganda,,,,12 months,,Uganda,UG,,To provide business consultancy to Hive Colab.,,,,05/09/2013 16:20,360G-indigotrust:org-25495
360G-indigotrust:IND147,Plan Cameroon digital mapping by local youth,360G-indigotrust,Indigo Trust,276035,Plan International UK,4434,GBP,,15488,,18/07/2012 00:00,Finsgate,5-7 Cranwood Street,London,EC1V 9LH,UK,,,,12 months,,UK,GB,,"To enable Plan Cameroon to engage local youth in decision-making procedures 
by using digital maps to involve duty bearers in discussions on resource 
allocation and to hold them more accountable.",,,,09/10/2014 14:27,GB-CHC-276035
360G-indigotrust:IND148,PeaceTXT Project,360G-indigotrust,Indigo Trust,,Sisi ni Amani,29177,GBP,,11751.44,,18/07/2012 00:00,PO Box 4210-00100,Nairobi,,,KENYA,,,,12 months,,KENYA,KE,,"Enable Sisi Ni Amani to upgrade their SMS messaging platform to provide 
greater functionality to the PeaceTXT Project.",,,,21/08/2012 15:01,360G-indigotrust:org-29177
360G-indigotrust:IND149,Digitising Cameroon Laws (DCL),360G-indigotrust,Indigo Trust,,iVission International,29185,GBP,,10764,,23/07/2012 00:00,"3rd Floor Immeuble Centre Medicale, Feu Rouge Bessengue",PO Box 13040,Douala,,CAMEROON,,,,12 months,,CAMEROON,CM,,To digitise Cameroon's Laws.,,,,09/10/2014 14:27,360G-indigotrust:org-29185
360G-indigotrust:IND150,Project Lungisa,360G-indigotrust,Indigo Trust,,Cell Life,29186,GBP,,12000,,23/07/2012 00:00,"123 Hope Street, Gardens",,Cape Town,,SOUTH AFRICA,,,,12 months,,SOUTH AFRICA,ZA,,"Enables citizens to send text based, audio and video reports outlining 
challenges in service delivery in Cape Town.",,,,09/10/2014 14:27,360G-indigotrust:org-29186
360G-indigotrust:IND151,Tech innovation hub research across Africa,360G-indigotrust,Indigo Trust,,iHub,29257,GBP,,10000,,30/07/2012 00:00,4th Floor Bishop Magua Centre,Ngong Road,Nairobi,,KENYA,,,,12 months,,KENYA,KE,,Research into tech innovation hubs across Africa.,,,,21/08/2012 15:04,360G-indigotrust:org-29257
360G-indigotrust:IND152,Datazone Project,360G-indigotrust,Indigo Trust,,ActivSpaces,26348,GBP,,1119,,14/08/2012 00:00,c/o Sanaga Ventures B.V.,MS. van Riemsdijkweg 57,1033 RC Amsterdam,,THE NETHERLANDS,,,,12 months,,THE NETHERLANDS,NL,,"Multimedia download utility for universities in developing nations 
struggling with low bandwidth.",,,,15/08/2012 15:31,360G-indigotrust:org-26348
360G-indigotrust:IND153,"To cover electricity, rent and internet costs",360G-indigotrust,Indigo Trust,,Hive Colab,25495,GBP,,15078,,28/08/2012 00:00,"3rd Foor, Suite 304, Kankojya House, Kanjokya Road",Kamwokya,Kampala,,Uganda,,,,12 months,,Uganda,UG,,"To cover electricity, rent and internet for 6 months.",,,,08/05/2013 11:02,360G-indigotrust:org-25495
360G-indigotrust:IND154,Core operating costs,360G-indigotrust,Indigo Trust,,iCow,26177,GBP,,14000,,03/09/2012 00:00,Green Dreams Ltd,P.O. Box 1403-00217,Limuru,,KENYA,,,,12 months,,KENYA,KE,,"To cover operating costs (salaries, rent, office costs), as they continue 
their negotiations with Safaricom in Kenya.",,,,11/09/2012 10:01,360G-indigotrust:org-26177
360G-indigotrust:IND156,To enable OAR to increase functionality of their data entry website,360G-indigotrust,Indigo Trust,,Open Aid Register,29381,GBP,,10000,,06/09/2012 00:00,"c/o Director, Institute for Information Law & Policy, New York Law School",185 West Broadway,New York,NY 10013,USA,,,,12 months,,USA,US,,"To improve the functionality of their IATI data input platform. The money 
will be used for design and development of several additional functions, 
such as the creation of an API, support for document upload and management 
and a data export feature. A small portion will also go towards electronic 
storage costs.",,,,09/10/2014 14:27,360G-indigotrust:org-29381
360G-indigotrust:IND157,"Technology Innovation Spaces in Buea, Douala, Cameroon",360G-indigotrust,Indigo Trust,,ActivSpaces,26348,GBP,,20150,,23/08/2012 00:00,c/o Sanaga Ventures B.V.,MS. van Riemsdijkweg 57,1033 RC Amsterdam,,THE NETHERLANDS,,,,12 months,,THE NETHERLANDS,NL,,"To cover non technical and technical infrastructure, salary costs, a seed 
fund, outreach and mentorship.",,,,25/09/2012 09:54,360G-indigotrust:org-26348
360G-indigotrust:IND158,Core costs,360G-indigotrust,Indigo Trust,,AgroHub,29383,GBP,,5700,,06/09/2012 00:00,"Rear Top Floor, Amazing Pharmacy Building Molyko",PO Box 174 Buea,SW Region,,CAMEROON,,,,12 months,,CAMEROON,CM,,"Infrastructure, salaries, branding, outreach and communications.",,,,03/10/2012 10:00,360G-indigotrust:org-29383
